"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
10017,0,1,1,1,5,,"0329-1997","CELEREX","109605-C",05/07/2007,,"75417","2017",24/07/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10018,0,1,1,1,5,,"0473-1993","CICLOMEX","57337-C",04/10/1994,"64318-A","60054","1835",10/06/1994,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10021,0,1,1,1,5,,"1099-1988","CIFLOXIN","48398-C",07/03/1989,"54712-A","49634","1574",09/01/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10023,0,1,1,1,5,,"618-1987","CLAMOX","46755-C",08/01/1988,"71733-A","47544",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10025,0,1,1,1,5,,"0526-1991","CONGESTEX","52245-C",15/11/1991,"59629-A","54136","1704",26/08/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10027,0,1,1,1,5,,"1092-1988","CONTINUS-666","48391-C",07/03/1989,"54715-A","49627","1574",09/01/1989,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10028,0,1,1,1,5,,"2471-1996","CORODIN","69556-C",09/12/1998,"72657-A","73651","1977",07/03/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10029,0,1,1,1,5,,"1091-1988","COTIBIN","48389-C",07/03/1989,"75657-A","49626","1574",09/01/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10030,0,1,1,1,5,,"1435-1988","CRETOL","48633-C",16/05/1989,"54999-A","49970","1582",23/02/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10032,0,1,1,1,5,,"2418-1996","DECAVIT - 666","68685-C",09/11/1998,,"73285","1967",17/01/1997,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10033,0,1,1,1,5,,"2417-1996","DELGADOL","68691-C",09/11/1998,"72661-A","73284","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10034,0,1,1,1,5,,"1987-1992","DERMAVITAL","56201-C",29/03/1994,"64325-A","58324","1813",17/12/1993,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10035,0,1,1,1,5,,,"DIGESPAR","46221-C",29/10/1987,"71716-A","46964","1511",27/05/1987,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10036,0,1,1,1,5,,"1290-1991","DILOX","52735-C",28/01/1992,"59936-A","54897","1715",13/12/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10039,0,1,1,1,5,,"1075-1987","DOLNIX","47163-C",29/04/1988,"72471-A","47999","1538",12/02/1988,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10040,0,1,1,1,5,,"0357-1996","DOLTOS","67466-C",04/09/1998,"72664-A","71821","1960",13/12/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10041,0,1,1,1,5,,"0457-1989","DORMEX","49884-C",09/03/1990,"56946-A","50593","1611",30/08/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10043,0,1,1,1,5,,"2539-1995","EGOL","73173-C",24/06/1999,,"69425","1952",26/09/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
